,premise,hypothesis,labels,genre
8709,how do you like it well,What are your feelings?,0,telephone
8710,i i have some feelings about it in the sense that i feel if a person is guilty beyond a reasonable doubt and it's a really heinous crime i feel like the Bible says an eye for an eye,I'm sure that it's never justified no matter how bad the crime.,1,telephone
8711,The world ripped apart around them replaced with a world of fear and blood and fire.,The world was still and peace was known across the land. ,1,fiction
8717,In few other modern cities are you likely to see such a variety of costumes.,Many modern cities host many different types of costumes.,1,travel
8720,yeah right uh-huh that's right yeah you you have to work on you really do,Yeah you have to work on that.,0,telephone
8721,yeah and crawl through it,I understand that I have to crawl through,0,telephone
8723,"Oh, sorry, wrong church.",It was the right church.,1,slate
8724,"Local boy Gates wisely built his 45,000-square-foot castle in suburban Seattle.",Gates tore down his house because he is not from the Seattle area.,1,slate
8727,Many lakes or sections of lakes are also wildlife conservation areas; these guides list the regulations that are in effect to protect water birds and other animals.,There are lake sections that also function as places for wildlife conservation.,0,travel
8729,"A lack of sleep can always be remedied later, a Madrile??o might tell you, as he tops off a late night with early-morning chocolate con curros (a fried-dough and chocolate snack ideal for absorbing alcohol) on the way home for a shower and then continues on to work.",Madrid has a curfew that states that every citizen needs to be at home after 9PM.,1,travel
8730,"The m??tro (subway) is the fastest way to move around the city, but the buses, both in the capital and the other big towns, are best for taking in the sights.",Taking the subway is a good way to experience big city life. ,1,travel
8731,"In 1099, under their leaders Godfrey de Bouillon and Tancred, the Crusaders captured the Holy City for Christendom by slaughtering both Muslims and Jews.",The Crusaders captured the Holy City.,0,travel
8732,"OMB issued the guidance in Memorandum M0010, dated April 25, 2000.",Memorandum M0010 was issued in 2000.,0,government
8733,"Do you know what this is?"" With a dramatic gesture she flung back the left side of her coat and exposed a small enamelled badge.",She wore a coat and carried a small badge.,0,fiction
8734,"June 21, 1995, provides the specific requirements for assessing and reporting on controls.",There are specific requirements for assessment.,0,government
8736,"Audit committees should not only oversee both internal and external auditors, but also be proactively involved in understanding issues related to the complexity of the business, and, when appropriate, challenge management through discussion of choices regarding complex accounting, financial reporting, and auditing issues.",Audit committees are not concerned with the oversight into internal and external auditors.,1,government
8737,"In the final rule, HCFA revised certain regulations pertaining to the costs of graduate medical education programs to conform to a recently enacted statute.",Regulations were revised by HCFA pertaining to the costs of graduate programs.,0,government
8739,And there was me.,I wasn't present.,1,fiction
8740,He was standing in front of a grey backdrop- somewhere that could be anywhere.,It was obvious where he was at.,1,fiction
8741,"I had an additional reason for that belief in the fact that all the cups found contained sugar, which Mademoiselle Cynthia never took in her coffee. ",Mademoiselle Cynthia always took lots of sugar in her coffee.,1,fiction
8742,"It is, as you see, highly magnified. ",It is highly enlarges as you can observe.,0,fiction
8744,"There are factory showrooms in the Pedder Building, 12 Pedder Street, in Central.",The Pedder Building in Central contains factory showrooms.,0,travel
8745,"year, they gave morethan a half million dollars to Western Michigan Legal Services.",Western Michigan Legal Services got half a million dollars from them.,0,government
8746,did you see it,There is nothing there.,1,telephone
8748,SSA is also seeking statutory authority for additional tools to recover current overpayments.,SSA wants the authority to recover overpayments.,0,government
8750,17 An alternative to unaddressed mail would be to auction off the right to be a third bundle on specific days in specific post offices.,You could auction off the right to another bundle instead of doing unaddressed mail.,0,government
8751,"Stale macho jokes and formulaic cliffhangers drive this chase-by-numbers thriller on the bumpy road to nowhere (Holden, the New York Times ).",It is a classic of the thriller genre.,1,slate
8752,His politeness sounded strange coming from a desert nomad.,The desert nomad was as nasty as always.,1,fiction
8753,The anthropologist Napoleon Chagnon has shown that Yanomamo men who have killed other men have more wives and more offspring than average guys.,Yanomamo men have never killed anyone.,1,slate
8754,He'd gone a long way on what he'd found in one elementary book.,"On what he'd found in one elementary book, he'd gone a long way.",0,fiction
8755,away from the children,Close to the kids,1,telephone
8756,"The collection and indeed the building itself is not huge or overbearing, allowing visitors to relax and enjoy the art perhaps more than is possible in such massive galleries as the Louvre or Rijksmuseum.",The Louvre and the Rijksmuseum are incredibly small galleries in comparison.,1,travel
8758,"Hamon said the proposed bill has attracted a number of co-sponsors, and Legal Aid backers are hoping to get it passed in the upcoming legislative session.",Legal Aid backers were against the proposed bill.,1,government
8761,But the real dirty work had already been done.,There was no dirty work left then.,0,slate
8762,"Saint-Th??gonnec is an outstanding example, its triumphal arch setting the tone for the majestic calvary of 1610.",The hideous calvary makes Saint-Thégonnec a terrible example.,1,travel
8763,well i meant when when you were when you were growing up i mean like Galveston,You grew up in Galveston.,0,telephone
8764,He also has a private practice.,He has private practices as well.,0,government
8765,"For example, the CFO Council and the Office of Management and Budget (OMB) are aggressively working on eight priority initiatives outlined in the1998 Federal Financial Management Status Report and FiveYear Plan.",The CFO Council and the OMB are working hard on several priority initiatives.,0,government
8766,"A piece describes the Learning Channel's new women-targeted reality TV  A Wedding Story , A Baby Story , and A Dating Story , featuring real-life marriages, babies, and dates.",The Learning Channel has shows for women.,0,slate
8767,"But of course, that's just another way of saying that liberal democracy--a value Huntington surely ranks above the alternatives morally--may never fit some peoples as naturally as it fits us.",Liberal democracy does not fit us well because we think communism is better.,1,slate
8768,Castlerigg near Keswick is the best example.,A good example would be Keswick near Castlerigg.,0,travel
8769,"In some cases, members initially participated because of an existing trust relationship with individual leaders or sponsors, and it was a challenge to keep them returning until they saw value in participating and had built trust with other members.","Trust is important to not only getting members, but keeping them as well.",0,government
8770,"If I work at it, I might even be able to pick up some endorsements from members of the Sonics.",I'll be able to get endorsements from Sonic if I put some work into it.,0,slate
8771,"If you are keen to learn Israeli folk dancing, the Bicurei Ha'etim Cellar in Heftman Street will teach you.",There is a place in Heftman Street that teaches Israeli folk dancing.,0,travel
8773,Transforming Control of Public Health Programs Raises Concerns (,The change of public health programs concerns people.,0,government
8774,does does that make since to you,Is this reasonable to you?,0,telephone
8776,"So is the salt, drying in the huge, square pans at Las Salinas in the south.",Pepper is made wet in Las Salinas.,1,travel
8779,"High Crimes is painfully shoddy, even for a book rushed to press.",High Crimes was carefully written and was not rushed. ,1,slate
8780,and uh my daughter gets irate when i when i do that because you know she's a teenager,My daughter never gets mad when I do that.,1,telephone
8781,oh you know i like what i'm doing right now,What I'm doing now is torturous.,1,telephone
8782,"Also in Eustace Street is an information office and a cultural center for children, The Ark .","The Ark, a cultural center for kids, is located in Joyce Street.",1,travel
8783,The Illinois Equal Justice Foundation has recently made its first grants from money appropriated by the Illinois General Assembly.,The Illinois Equal Justice Foundation received nothing from the Illinois General Assembly.,1,government
8784,i'd say they appraised it it's gone up you now maybe like five percent,"If I were to have it appraised, it would have gone up. ",1,telephone
8786,"He sat a short distance from them, his eyes on Jon.",He was far away looking at Jon.,1,fiction
8787,yeah that's true the traffic um yeah yeah,That's true about the traffic.,0,telephone
8788,"In the meantime, the philosophy is to seize present-day opportunities in the thriving economy.",The philosophy was to seize opportunities when the economy is doing well.,0,travel
8789,"Arawak peoples migrated to various Caribbean islands, arriving in Jamaica by the beginning of the eighth century.","While they visited the islands, they never visited Jamaica.",1,travel
8790,"Sainte-Anne itself has a long, broad beach used not only by fishermen in vividly painted boats, but also by families with small children.",Families with small children and fishermen with boats can be seen along the beach in Sainte-Anne.,0,travel
8791,He seemed to have aged a thousand years.,He looked many years younger.,1,fiction
8792,It might not stop them completely but it would slow them the first night.,It won't affect their speed at all. ,1,fiction
8793,yeah i know because uh all i know is that when i came here in eighty seven they still had uh it was the last year to to put all your punch cards in,When I first started in the eighties you had to use punch cards.,0,telephone
8794,and i need to be better because uh uh we just bought it my wife and i just bought a new car and uh you know we want to take real good care of it so uh,It is important that I take care of my wife's car.,0,telephone
8796,and that you're very much right but the jury may or may not see it that way so you get a little anticipate you know anxious there and go well you know,"Even though you're correct, the jury might think differently.",0,telephone
8797,Sometimes it flattens entire neighbourhoods to make life easier for them.,They do not mean to flatten neighborhoods.,1,fiction
8798,"For a second, I thought the crowd might provide me with some cover, or at least slow my pursuers down with its sheer density.",I thought I might hide in the crowd.,0,fiction
8800,life track,Life path.,0,telephone
8802,and ancient coins,And really new coins.,1,telephone
8803,"In this rule, cost refers to historical cost and market refers to the current replacement cost by purchase or production.",The historical cost is used in the rule.,0,government
8804,"At least they're getting stoned first, I rationalized.","It's awful that they get stoned first, I argued. ",1,slate
8806,oh of course,Of course not,1,telephone
8807,"At 60 cents, it's a bargain!",It is a rip off for 60 cents.,1,slate
8808,The party's broad aims were to support capitalist policies and to continue close ties with Britain and the rest of the Commonwealth.,Radical socialism and isolationism was the primary aim of the party's platform.,1,travel
8810,"The oldest continually occupied settlement on the island is Kastro, where most of the buildings date from the 14th century and were laid out in a circular pattern atop a rocky outcrop 100 m (300 ft) above the east coast.",Most of the houses on Kastro date back to the 14th century.,0,travel
8811,"At the far end of David Street, Temple Mount is one of the world's most sacred spots to three major religions.",Three major religions treat Temple Mount as very important.,0,travel
8814,Tuppence rose.,Tuppence remained seated.,1,fiction
8815,"Several security managers said that by participating in our study, they hoped to gain insights on how to improve their information security programs.",The security managers in the study joined in order to see what we were doing wrong.,1,government
8817,oh sure sure right um-hum right,"No, no",1,telephone
8818,Two aromatic aniseed drinks are also produced locally.,The aniseed drinks are produced internationally.,1,travel
8820,Poirot remained lost in thought for a few minutes. ,Poirot was focused deeply on his thoughts.,0,fiction
8821,so uh i hope you like your office,I hope your office is up to your standards.,0,telephone
8822,"Governed by the great bendahara Mutahir with more diplomacy than military force, the sultanate asserted its supremacy over the whole Malay peninsula (except for the northernmost Thai-held Patani region) and across the Melaka Straits to the east coast of Sumatra.",Mutahi ruled by showing force over his subjects.,1,travel
8823,They're both excited about it ...,They're dreading it. ,1,slate
8824,because the cold weather was just simply trapped along the ground and couldn't get away,The weather couldn't get away from the ground.,0,telephone
8825,yeah so i i trotted back to the car rather quickly uh jumped in went home and took a hot shower and changed clothes and went back,"I drove home, took a shower, changed clothes and went back.",0,telephone
8827,Not yourself.,Only you,1,fiction
8830,"Once they know their Social Security benefits promised under current law, workers can calculate how much they can expect from employer-sponsored pension plans and how much they need to save on their own for retirement.",Workers cannot calculate how much they can expect from employer-sponsored pension plans.,1,government
8831,"Other advantages the Postal Service could retain relate to such things as the payment of taxes, the need for a return on investment, the right of eminent domain, and immunity from parking tickets.",The right of eminent domain is an advantage of the Postal Service.,0,government
8832,"Exhibit 3 presents total national emissions of NOx and SO2 from all sectors, including power.",In Exhibit 3 there are the total regional emissions od NOx and SO2 from all sectors.,0,government
8833,well i think of uh you mean as far as retirement,I believe you are referring to retirement.,0,telephone
8835,The credibility of the United States working with its European partners in NATO is on the line.,The United States currently enjoys high favorability among its European allies who trust it completely.,1,slate
8836,Neither does it include the mail sent in response to advertising.,It does not include the mail sent in response to advertising.,0,government
8837,"All of them slept in one cave on animal skins, a single large clay pot cooked all of their food.",They used a single clay pot to cook their food.,0,fiction
8839,the only problem is it's not large enough it only holds about i think they squeezed when Ryan struck out his five thousandth player they they squeezed about forty thousand people in there,It doesn't hold many people.,1,telephone
8840,uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him,He is my favorite and I never want to see anyone beat him.,1,telephone
8841,The following are examples of how agencies engaged employee unions.,The following are examples of how agencies can eradicate employee unions.,1,government
8843,"Once the pious devotions are over, however, wine flows, fireworks explode, espetada (kebab) stalls flourish, and Monte regains normality for another 363 days.","After the pious devotions, Monte regains normality for the rest of the year.",0,travel
8846,At the fulcrum is a coffee bar and cafe under a giant screen television flanked by CD listening stations.,There is a huge television screen above the coffee bar and cafe.,0,travel
8848,"There is very little to see here, or at the ruined Essene monastery of Qumran itself.",There aren't many things to look at here or at the ruined monastery.,0,travel
8849,Perhaps we should prepare a militia.,Maybe it would be a good idea if we prepared a militia.,0,fiction
8852,"This was built 15 years earlier by Jahangir's wife, Nur Jahan, for her father, who served as Mughal Prime Minister.",Nur Jahan's father served as the Prime Minister of Mughal. ,0,travel
8853,Always check with drivers and hotel employees to determine if road conditions are good before you depart.,The roads are always in good condition. ,1,travel
8857,The Palace of Jahangir is built around a square court with arches.,The Spanish Palace has a round court inside.,1,travel
8859,"The students' reaction was swift and contentious, as if their feelings had been hurt.",The students had strong reactions.,0,slate
8860,From his second sight Jon saw San'doro grappling with a much larger man.,San'doro was running away so he didn't have to fight.,1,fiction
8861,probably so yeah you can get a head start on it,You can get a head start on it.,0,telephone
8863,Here's the  439 feet + (59 feet x 0.6) = 474 feet.,This is a math equation.,0,slate
8866,The park was established in 1935 and was given Corbett's name after India became independent.,The park changed names due to the independence.,0,travel
8867,so he donates a lot not everything but a lot of the material then what he doesn't donate we just go out and buy,"Much of the material, but not all of it, is donated by him.",0,telephone
8869,The key question may be not what Hillary knew but when she knew it.,Hillary never knew anything.,1,slate
8871,"Possibly, but strychnine is a fairly rapid drug in its action. ",Strychnine  is a drug that works very quickly. ,0,fiction
8873,"Typically assumed to be a high-roller card game, baccarat (bah-cah-rah) is similar to blackjack, though it's played with stricter rules, higher limits, and less player interaction.",People interact less when they play a game of baccarat compared to blackjack.,0,travel
8874,"Other pundits beam their opinions at us as through a time warp, from the hazy days of past administrations.",Other experts give their opinions through time warp from past administrations.,0,slate
8875,at least i'm going to give it a try cause you can see i mean the oil filters i mean you can touch it it's right there,It doesn't seem worth the effort because the oil filter's out of reach.,1,telephone
8876,The game of billiards is also hot.,People like billiards.,0,travel
8878,These adaptations are not uniformly valued.,Adaptions are always valued ,1,government
8880,Were you in company with anyone?,Who was with you?,0,fiction
8881,um-hum yeah we're still pretty much you know in winter as far as that goes here,"You know, we're still in the summer time.",1,telephone
8883,yeah it's true it is in in fact i have a friend of mine that moved to North Carolina she's um an emergency room nurse she does the operating room,I have no friends who work in the medical field.,1,telephone
8884,"Finally, the Administration strongly opposes including reductions for CO2 in S. 556 or any multi-pollutant bill.",Any multi-pollutant bill is supported by the Administration.,1,government
8885,'Of course.',Of course not.,1,fiction
8886,"I found her leaning against the bannisters, deadly pale. ",She looked very vibrant as she stood next to the banister.,1,fiction
8887,"1 Lower and upper PMSD bounds were determined from the 10th and 90th percentile, respectively, of PMSD data from EPA's WET Interlaboratory Variability Study (USEPA, 2001a; USEPA, 2001b).",Lower and upper PMSD limits were determined via a random draw from a magician's hat.,1,government
8888,The technical how-tos for these three strategies will be summarized later in this paper.,There are seven strategies discussed in the paper.,1,government
8891,Boats in daily use lie within feet of the fashionable bars and restaurants.,There are boats close to bars and restaurants.,0,travel
8892,uh it's in Georgia it's yeah it's right outside of Macon and and it's just a i like the way that i like the way that idea of the south is,It's in Georgia but it's a very long distance from Macon.,1,telephone
8893,"I'm not sentimental, you know."" She paused.",She said that she is always sentimental. ,1,fiction
8894,Coast Guard rules establishing bridgeopening schedules).,The Coast Guard is in charge of opening bridges.,0,government
8898,"That drawer was an unlocked one, as he had pointed out, and he submitted that there was no evidence to prove that it was the prisoner who had concealed the poison there. ",All evidence pointed towards the prisoner being the one to try and hide poison in the drawer.,1,fiction
8901,yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food,I am not picky about what kind of food I eat I just don't want to travel far. ,0,telephone
8902,The Office of Information and Regulatory Affairs of OMB approved the,Something was approved by the office of affairs.,0,government
8903,did oh they're they are everywhere they,They are all over.,0,telephone
8904,"Eh! Monsieur Lawrence, called Poirot. ",Poirot called upon Monsieur Lawrence.,0,fiction
8910,"In an effort to more thoroughly explore this topic, we expanded our discussions beyond the eight organizations that were the primary subjects of our study by requesting the Computer Security Institute to informally poll its most active members on this subject.",We are discussing this topic with more than just the original organizations.  ,0,government
8911,that's true i didn't think about that,That's not true.,1,telephone
8912,"Flanked with patches of forest leading up into the foothills of the Himalayas, the flat plain stretches right across to the Bay of Bengal 1,600 km (1,000 miles) away, but some areas are kept as nature reserves for the country's wildlife, notably its tigers, leopards, and elephants.",The people of the Himalayas and Bay of Bengal aren't concerned about reserving nature.,1,travel
8913,"She was a very good mistress to me, sir.",She was a good mistress. ,0,fiction
8914,"It displays some superb marble sculptures of the second century a.d. , most notably a Venus and the Emperor Hadrian and his wife Sabina.",It hosts a sculpture of Venus and one of the Emperor Hadrian.,0,travel
8915,"It features over 50 outlets for discounted designer fashions, from Armani to DKNY.",It features less than 20 outlet stores with designer fashions.,1,travel
8916,"By seeding packs with a few high-value cards, the manufacturer is encouraging kids to buy Pokemon cards like lottery tickets.","The manufacturer has devised a clever way of getting kids to keep buying card packs even when they have piles of them by only having a few, random rare cards per pack.",0,slate
8917,"from generation to generation (Michiko Kakutani, the New York Times ). A few, like Pearl K. Bell in the Wall Street Journal , find a surfeit of sweetly obedient docility in the novel and say parts are perilously at the edge of sentimentality.",Some readers may find the novel to have sentimental parts.,0,slate
8918,"Punditus Interruptus, The Final ",The Beginning of Punditus Interruptus,1,slate
8920,"Among the allegations is that Tokyo Joe--listen, he calls himself that-- duped subscribers to his e-mail advisory , exaggerating his annual returns by leaving out losing trades.",Because Tokyo Joe doesn't tell people about the money he has lost he gets more investors. ,0,slate
8921,exercise is not supposed to do that to you,Exercise is supposed to do that.,1,telephone
8922,Tuppence frowned.,"Tuppence made a face, then smiled. ",1,fiction
8923,"Bettelheim committed suicide in 1990, evidently having found life unbearable, despite (or because of) his fictions.",Bettelheim killed himself in 1990.,0,slate
8925,"After four years, Clinton has learned how to avoid looking unpresidential.","Four years later, Clinton understands how to look presidential.",0,slate
8926,Ca'daan heard the Kal grunt and felt the horse lift.,The Kal's grunt was heard by Ca'daan.,0,fiction
8927,"There are no gods here now, said the voice of the monster in front of them.",The monster stood behind them in silence and spoke not a word. ,1,fiction
8932,", First-Class Mail used by households to pay their bills) and the household bill mail (i.e.",First-Class Mail used by households to pay their bills,0,government
8933,"The Kal tangled both of Adrin's arms, keeping the blades far away.","Adrin's arms were tangled, keeping his axes away from Kal.",1,fiction
8934,yeah so it's easy to do i'm actually interested in getting one of those kind of my wife has been talking about this in the past couple of years one of those kind of campers that pop-up so it's about uh maybe eight foot square and but only about two feet tall and when you get to where you're going it raises up and there's tenting material,I really want a camper. ,0,telephone
8935,"In 1654 Oliver Cromwell, Lord Protector of England, dispatched a British fleet to the Caribbean to break the stranglehold of the Spanish.",Cromwell send them to the Caribbean.,0,travel
8938,Their goals remain influential as India approaches the new millennium while it continues to modernize its industry and increase its agricultural output.,Their goals have become ineffective as India modernizes. ,1,travel
8940,"As a result, their services may be more effective when conducted in the emergency department environment.",Their services might be more effective if they're done in the ED.,0,government
8941,"Restored in 1967, the beautiful exterior is complemented by the fine period furniture housed inside.",The beautiful exterior was restored in 1967.,0,travel
8942,SSA is also seeking statutory authority for additional tools to recover current overpayments.,SSA wants the authority to recover underpayments.,1,government
8944,and then you can add cocoa powder to it to make chocolate or after it's thickened i cook it for a good once it starts boiling i just i cook it for a good seven minutes,I add cocoa powder and boil it for seven minutes.,0,telephone
8945,"There are slave irons, traditional island costumes, and an interesting French map of 1778 showing the theatre de la guerre (theater of war) between the Americans and the British.",The Spanish map of 1776 shows the War of the Roses between the British and nation of India.,1,travel
8946,He turned and saw Jon sleeping in his half-tent.,He saw Jon was asleep.,0,fiction
8948,Perhaps we should prepare a militia.,We shouldn't bother preparing a militia.,1,fiction
8949,"Sadly, vandals removed all the tomb's spectacular treasures, but they did leave the gentle beauty of rose and poppies in rich inlaid stones of onyx, green chrysolite, carnelian, and variegated agate.",The vandals only stole the stones on onyx.,1,travel
8950,"I understand, mademoiselle, I understand all you feel. ","I have no clue how you feel, madam.",1,fiction
8953,"And yet, we still lack a set of global accounting and reporting standards that reflects the globalization of economies, enterprises, and markets.","We have comprehensive global reporting standards that reflects the globalization of economies, and markets. ",1,government
8954,Programs in Michigan and the District of Columbia received one-year grant terms for 2002.,Programs in Michigan receive one-year grant terms. ,0,government
8957,"The building will also house two smaller volunteer-based programs, the Multi-Cultural Law Center and the Senior Lawyer Volunteer Project.",A couple of groups will work from the location.,0,government
8958,"The levadas were largely built by slave laborers from Africa, whose primary employment was on sugar plantations.",The levadas were built by the slaves.,0,travel
8962,"There's nobody telling that landlord to fix the property, Simmons said. ",Simmons said that nobody told the landlord to fix the property.,0,government
8965,"Growth continued for ten years, and by 1915 the town had telephones, round-the-clock electricity, and a growing population many of whom worked in the railroad repair shop.","Growth was stifled, and most of the population couldn't find work.",1,travel
8967,does does that make since to you,I don't care if it makes sense to you or not.,1,telephone
8971,There are also ferries to Discovery Bay.,There aren't any ferries to Discovery Bay.,1,travel
8976,"In addition, we supported the creation of a 250-page Poverty Law Manual that introduces advocates to the fundamentals of poverty law.",A poverty law fundamentals manual was created.,0,government
8977,Funchal's central area boasts the best variety of shops and local products on the island.,Funchal's focal point is the huge choice of different shops and goods in the center of the island.,0,travel
8978,Local residents will tell you where to find them.,You'll need to buy a map in advance of arrival to find them.,1,travel
8980,"'Pardon me for saying so, but I really don't think this is the time for an entree,' I said.",This was the perfect time for an entree. ,1,fiction
8982,because i don't want to my mother was also a domineering type of personality because she had to take over the things that my dad fell short in,My mother had to work hard to take care of the family.,1,telephone
8984,Las Vegas now seems poised to accept the multiple layers of its existence as a tourist city.,Las Vegas appeals to multiple types of people.,0,travel
8985,"If anyone has a good idea about how to bring back the opinion leaders of yore, I am all for it.",Someone is looking for ideas to bring back the opinion leaders of yore.,0,slate
8986,"The lucrative tin mines of Kuala Lumpur in the State of Selangor, of Sungai Ujong in Negeri Sembilan, and of Larut and Taiping in Perak were run for the Malay rulers by Chinese managers providing coolie labor.",The Malay rulers directed administrated their own tin mines.,1,travel
8987,"It is at the moment of maximum audience susceptibility that we hear, for the first time, that the woman was fired not because of her gender but because of her sexual preference.",We heard right then that the woman was actually fired for her sexual preferences.,0,slate
8988,'Have you Mr. Whittington's address in town? ,Do you have the address for Mr. Whittington?,0,fiction
8989,oh yes how well i know i was laid off last year but i was i was lucky because i was one of the first groups to go,My group was the very last group to get laid off.,1,telephone
8990," Dinghies are available for hire from the marinas at Tel Aviv, Jaffa, Akko, Netanya, and Nahariya.","Tel Aviv, Jaffa, Akko, Akko, Netanya, and Nahariya offer no dinghies.",1,travel
8991,"Two separate, exhaustive shots posted simultaneously?","Both of the extensive, individual shots are being posted at the same time?",0,slate
8992,Spock did not cure American mothers and fathers of their impossible dream of being professional parents equipped with the developmentally correct answers.,American parents often dream of being professional parents.,0,slate
8993,"But when the cushion is spent in a year or two, or when the next recession arrives, the disintermediating voters will find themselves playing the roles of budget analysts and tax wonks.",The cushion cannot be depleted and there is not going to be another recession.,1,slate
8994,"Most pundits side with bushy-headed George Stephanopoulos ( This Week ), arguing that only air strikes would be politically palatable.",George's stance on air strikes has gained a large pundit following.,0,slate
8995,"The recommendation comes from the court's Task Force on Civil Equal Justice Funding, created in 2001 to look for ways to cope with the sparse amount of money available for such cases.",The Task Force on Civil Equal Justice Funding was created in 2001. ,0,government
8996,Overlapping the others?,Overlying the others?,0,fiction
8998,The technical how-tos for these three strategies will be summarized later in this paper.,There are three strategies discussed in the paper.,0,government
8999,"'Publicity.' Lincoln removed his great hat, making a small show of dusting it off.",Lincoln kept his hat on.,1,fiction
9000,during the whole war he never put out like a conservation a conservation effort for oil,In the war we never set out to conserve oil.,0,telephone
9001,so we've been out here well really in the house since December and we've been uh planting flowers that we could never plant in San Antonio uh,We planted lots of different flowers in San Antonio.,1,telephone
9002,yeah i'm i'm sort of an acting process engineer but not officially but that's pretty much what i do yeah,Im not officially an acting process engineer but I do the work of one.,0,telephone
9003,and the other thing is the cost it's almost prohibitive to bring it to a dealer,It's cheap to bring it to a dealer.,1,telephone
9005,"In other cases, we must rely on survey approaches to estimate WTP, usually through a variant of the contingent valuation approach, which generally involves directly questioning respondents for their WTP in hypothetical market situations.",It is not possible to determine WTP by asking respondents.,1,government
9006,once you have something and it's like i was watching this program on TV yesterday in nineteen seventy six NASA came up with Three D graphics right,I was watching a program about gardening. ,1,telephone
9008,"By seeding packs with a few high-value cards, the manufacturer is encouraging kids to buy Pokemon cards like lottery tickets.",Buying Pokemon cards is gamified in such a way as to lure kids into buying more packs so they can get rare cards.,0,slate
9009,"Hindus then went on the rampage through Sikh communities, resulting in a round of communal violence.",The Hindus peacefully protested against the Sikhs.,1,travel
9012,i know that you know the further we go from Adam the worse the food is for you but God still somehow makes us all be able to still live i think it's a miracle we're all still alive after so many generations well the last couple of processed foods you know i mean but i don't know i like to i like to my i like to be able to eat really healthy you know what am saying and i guess i'm going to have to wait for the millennium i think though because i do don't think we're going to restore the earth to you know i think Jesus is the only one that can make this earth be restored to what it should be,It is miraculous God still provides for us to this day.,0,telephone
9013,"As a counterweight to the Singapore Chinese, he would bring in the North Borneo states of Sabah and Sarawak, granting them special privileges for their indigenous populations and funds for the development of their backward economies.",The states of Sabah and Sarawak committed mass genocide of their indigenous populations.,1,travel
9014,"For a small fee, non-guests may use the beach and facilities at a number of Guadeloupe and Martinique hotels'a great convenience for island-hoppers.",Customers of other hotels can access the facility's beach for a small fee.,0,travel
9016,"The universal credibility problem with polling is that wordsmithing and mathematics don't mix, and never will.",Wordsmithing and mathematics are not related enough to go together.,0,slate
9017,"This is one of the reasons we're growing too weak to fight the Satheri.  ""What's wrong with a ceremony of worship, if you must worship your eggshell?"" Dave asked.","Eggshell worship is the reason we're growing too weak to fight the Satheri, yet Dave asked about it.",0,fiction
9018,in one sense um i'm i'm an older person in my fifties so i feel that we've lost some things in the sense that women have to work today,"As someone from an older generation, I feel like things have changed.",0,telephone
9019,"The analysis also addresses the various alternatives to the final rule which were considered, including differing compliance or reporting requirements, use of performance rather than design standards, and an exemption for small entities from coverage of the rule.",The are a bunch of possible alternatives for the rule.,0,government
9020,Expenses included in calculating net cost for education and training programs that are intended to increase or maintain national economic productive capacity shall be reported as investments in human capital as required supplementary stewardship information accompanying the financial statements of the Federal Government and its component units.,Net cost for education programs can be calculated as a way to decrease productivity.,1,government
9021,The information provided in this guide is current as of the date of this publication.,The information in the guide is up-to-date.,0,government
9022,There never will be.,It will never happen.,0,fiction
9023,The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.,Until that time Hinduism had been rigid and cold.,0,travel
9024,Many restaurants and bars have live music.,Most restaurants and bars do not have a musical element.,1,travel
9025,One he broke back to about the length of his forearm.,He snapped something to be as long as his forearm.,0,fiction
9026,"The ITC has enlisted legal services attorneys from across the state to manage each of the 12 categories, and those volunteers will organize contributions and add them to a searchable database.",The volunteers had to write it down with pen and paper as there were no computers to use.,1,government
9027,Their goals remain influential as India approaches the new millennium while it continues to modernize its industry and increase its agricultural output.,India's industry is modernizing. ,0,travel
9028,In the ancestral environment a man would be likely to have more offspring if he got his pick of the most fertile-seeming women.,Only a man who stayed with one female spread his genes most efficiently.,1,slate
9029,in you know just dealing with the customer maybe that's there only reason why they don't it'd seem like they'd just put a little barrel out there and say it pour here and go on  we'll take your money,The customers were just one of many reasons.,1,telephone
9031,because we don't always read the newspaper sometimes it just sits around for a while and then we just chuck it,Sometimes we throw the newspaper away without reading it.,0,telephone
9032,Revenue is recognized from forfeited property unless the property is distributed to state or local law enforcement agencies or foreign,Revenue is spent on forfeited property.,1,government
9033,in well i think i think my long-term sense of of budget concerns is that we're going is a lot of others government's spending goes on goes towards this uh health care and things like that and a lot of causes of poor health or need for health care are brought about by various factors such as such as pollution stress you know work work environment conditions and so forth but generally the government is,The government spends a lot of money on health care.,0,telephone
9036,they really do i i sometimes think that that should be limited more,I sometimes believe that they should be more limited.,0,telephone
9037,"The sunlight, piercing through the branches, turned the auburn of her hair to quivering gold. ","When the sunlight pierced through the branches, her hair turned a darker shade of red.",1,fiction
9038,"Tell me, how did those scribbled words on the envelope help you to discover that a will was made yesterday afternoon?"" Poirot smiled. ",How did you work out from that text that there was a new will?,0,fiction
9039,"A detailed English explanation of the plot is always provided, and wireless recorded commentary units are sometimes available.","A detailed plot, written in English, is always available and an audio commentary is sometimes available.",0,travel
